question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,directional_consensus,order_flow_imbalance,wallet_concentration,wallet_age_median_days,cross_market_wallet_flag,label,is_labeled_only,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
Will António José Seguro win the 2026 Portugal presidential election?,7867806.308222,-0.08685594028879834,0.056499999999999995,0.02702702702702703,0.0011801489225050992,0.008000000000000007,0.03700000000000003,-0.0010000000000000009,-0.0010000000000000009,0.0019365607342310752,0.0007039868152079326,0.0316076585731094,0.7566262021869876,0.6857312399005279,0.9202463750151693,366.0,13.0,,False,0.3,False,True,0.9721672241944324,0.21698105532556408,0.7880179565571465,0.8975780622235318,2026-01-25T14:00:00Z
Will Karol Nawrocki be the next President of Poland?,31735999.949038,-0.09541898586032299,0.265,0.0,0.006049815833239551,0.025000000000000022,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.0020872042731205965,0.0016831724491166425,0.0122702315588445,0.7223016177682444,0.4446032355364892,0.9435466099172218,540.0,17.0,,False,0.0,False,False,0.0686680593497314,0.08764003029382204,0.6676176167215995,0.18940656937130956,2025-05-18T12:00:00Z
Will Rafał Trzaskowski be the next President of Poland?,40863065.298881,-0.085889068260243,0.30500000000000005,0.0,0.004996603645028676,0.020000000000000018,0.04500000000000004,0.03500000000000003,0.025000000000000022,0.00245041385656765,0.001811147753671747,0.0052293225868355,0.8696778902554841,0.7393645990193913,0.963212804388164,572.0,14.0,,False,0.0,False,False,0.2875348772832435,0.12827506376532113,0.6976913809183918,0.361603187334377,2025-05-18T12:00:00Z
Will Pierre Poilievre be the next Canadian Prime Minister?,67376035.838465,-0.049098591494567634,0.2195,0.0,0.0034017277851038415,0.015499999999999986,0.0050000000000000044,-0.004500000000000004,-0.0005000000000000004,0.00624485177152928,0.0035505033697785723,0.005938242280285,0.7117494674449311,0.4946874424023201,0.962271448246818,612.5,17.0,,False,0.0,False,False,0.07224314694843842,0.15196304193017904,0.5807253711303771,0.17792558653391322,2025-04-28T12:00:00Z
Will Mark Carney be the next Canadian Prime Minister?,36416000.185007,-0.08430905570004787,0.22050000000000003,0.0,0.0028576852295139816,0.013000000000000012,0.0030000000000000027,0.0044999999999999485,0.0010000000000000009,0.007150279634660745,0.004921556738948703,0.0073049793980026,0.7897052601977352,0.5818930153823962,0.9664621148202768,638.0,18.0,,False,0.0,False,False,0.03268294419469022,0.21777755699745105,0.519032482675845,0.13920758253105922,2025-04-28T12:00:00Z
Will the next Prime Minister of Hungary be Viktor Orbán?,25456113.707224935,-0.09948040972724392,0.305,0.5,0.004985185152621435,0.010000000000000009,0.020000000000000018,-0.010000000000000009,-0.010000000000000009,0.03835360703177771,0.014417300009358508,0.0086766267334484,0.6444097512344189,0.28747040781813527,0.957073334051497,290.5,14.0,,False,0.0,False,False,0.021415485256226854,0.07785644605854428,0.8038096130654916,0.18071635885819567,2026-04-12T00:00:00Z
Will the next Prime Minister of Hungary be Péter Magyar?,24555476.477281053,-0.07717655360632386,0.30500000000000005,1.0,0.004382281320814535,0.010000000000000009,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.02830761168785504,0.009460806612878028,0.010239426349052,0.696355310721954,0.3786728954487699,0.9532289359666444,270.0,9.0,,False,0.0,False,False,0.020028927741307608,0.10065437018172192,0.8551715407376186,0.19108872246259054,2026-04-12T00:00:00Z
Iran x Israel/US conflict ends by April 15?,17450416.216830038,-0.07664781630119921,0.5575,0.013377926421404692,0.048874996737825464,0.15200000000000002,0.29900000000000004,0.040000000000000036,0.19200000000000006,0.0040229831597198415,0.0016735253374714518,0.0339739027283511,0.536790091679318,0.4907438026353104,0.9319569060208566,317.0,12.0,,False,0.0,False,False,0.05265311671803842,0.10541697612304715,0.5762609691047721,0.16001288016563558,2026-04-15T00:00:00Z
Will Trump release the Epstein files by December 20?,1083715.505215,-0.11536809577742169,0.30000000000000004,0.2270450751252088,0.03972130914257486,0.21000000000000008,0.2995000000000001,0.07450000000000001,0.2845000000000001,0.8215178559570189,0.4819490534147206,0.1521691257432283,0.9407398977459617,0.8814797954919235,0.945254386483029,360.5,11.0,,False,0.0,False,False,0.10808693293894807,0.6114502876062652,0.11058863012573848,0.13375544010967202,2025-12-20T00:00:00Z
US x Venezuela military engagement by December 15?,3803402.88312,-0.1399021650142866,0.275,0.3333333333333332,0.025757865447526056,0.16499999999999998,0.12,-0.019999999999999962,0.12,0.27076130846912566,0.05694564158637479,0.0700863382427628,0.5844869483060591,0.15747233302338381,0.8746113399487667,265.0,11.0,,False,0.0,False,False,0.0054021286320521805,0.12516470545436936,0.6079149390447783,0.13189281955571328,2025-11-30T00:00:00Z
Will José Antonio Kast win the Chilean presidential election?,6918328.14737,-0.14236815649100448,0.29500000000000004,0.2500000000000007,0.005407772351973962,0.020000000000000018,0.039999999999999925,-0.010000000000000009,-0.039999999999999925,0.023307935882243044,0.013397654886190607,0.0075524122253094,0.7714334782372081,0.5171613336927452,0.9297090678949644,577.0,12.0,,False,0.0,False,False,0.009565721538046624,0.08583774248609434,0.7907948148048869,0.16962514123881708,2025-11-16T12:00:00Z
Will TISZA – Respect and Freedom Party (TISZA) win the most seats in the next Hungarian parliamentary election?,4782714.49172103,-0.1471588786052403,0.245,0.25,0.004960783708246112,0.015000000000000013,0.020000000000000018,-0.020000000000000018,-0.020000000000000018,0.04628311899986861,0.018939208259859834,0.0181469766582781,0.7185638191298046,0.4368614525306068,0.9358237718366087,70.0,12.0,,False,0.0,False,False,0.010537535687060683,0.13597745528299182,0.5924414712242672,0.13319031877429854,2026-04-12T00:00:00Z
Will Fidesz–KDNP win the most seats in the next Hungarian parliamentary election?,4467769.916728955,-0.14335087591072737,0.245,0.0,0.00562429133857986,0.014999999999999986,0.0,0.0,0.010000000000000009,0.025091871499963753,0.013290381539788364,0.0224224399346862,0.6641928164492291,0.32937292653174194,0.94675295616285,298.0,12.0,,False,0.0,False,False,0.03824156791626825,0.0644532004754668,0.8665762051909554,0.20521907699916558,2026-04-12T00:00:00Z
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,17826731.742495,-0.040542332629118494,0.745,0.06896551724137938,0.04488050630378629,0.29000000000000004,0.29,0.0,-0.09500000000000003,0.005871436068888381,0.0029053227772938835,0.0186051846753842,0.7559258452067019,0.3700536489894268,0.9631703860317049,447.0,14.0,,False,0.0,False,False,0.09210001891273796,0.1762677034832521,0.3752119342028244,0.15293078619928097,2025-06-24T12:00:00Z
Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,17848349.233334,-0.050467850402306,0.7515000000000001,0.05772495755517831,0.04297631918702023,0.2859999999999999,0.29450000000000004,-0.0040000000000000036,0.10400000000000004,0.010440014402837133,0.004175525586822093,0.0139951981285013,0.5405968942741639,0.1830233327160691,0.9572073543297122,452.0,16.0,,False,0.0,False,False,0.028531767923877776,0.19432934472151508,0.32704992770156854,0.09652527871929781,2025-06-24T12:00:00Z
Maduro out in 2025?,34641400.627049,-0.004653468542053396,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.006,-0.0035,-0.0025,0.0015906106612973685,0.00042210932951525785,0.0098584448943337,0.8810798556801159,0.7621597113602318,0.9554660259100776,376.5,14.0,,False,0.6,False,True,0.9475829917522702,0.2898678902216384,0.6977622506261096,0.8647330884505064,2025-12-31T12:00:00Z
"Maduro out by November 30, 2025?",5568345.12412,-0.08477358890392589,0.0065,0.0,0.00303853327653525,0.0125,0.001,0.0,-0.0135,0.018161636785571592,0.012524064761201374,0.0102759835584263,0.9600920602783699,0.9201841205567395,0.9345595963245845,489.0,8.0,,False,0.6,False,True,0.9653222735409575,0.41859017258392456,0.6817258713962246,0.8812663880641592,2025-11-30T12:00:00Z
Will Trump visit China by March 31?,10369639.104046939,-0.022344313639176383,0.61,0.0,0.062124153854663675,0.415,0.49,0.0,-0.024999999999999994,0.010567789249768972,0.002531453767305822,0.0543300653594771,0.7067180266139842,0.5653840671301507,0.864561458573673,432.5,4.0,,False,0.0,False,False,0.23183776745948886,0.3224169910717837,0.31611132943692116,0.2532214410355901,2025-10-31T00:00:00Z
Will Trump visit China by May 31?,7626224.046920019,-0.13481416634999044,0.20499999999999996,0.125,0.004702004204317028,0.020000000000000018,0.08000000000000007,-0.020000000000000018,-0.020000000000000018,0.022211444246465248,0.009702221232445518,0.0487575783451455,0.7819158287073704,0.5562902447015164,0.9128071874941384,262.5,5.0,,False,0.0,False,False,0.04360058471947738,0.10268570021767197,0.8877458374092504,0.21538389103234173,2026-03-31T00:00:00Z
Will Trump visit China by June 30?,2339353.8254859988,-0.1271967989242478,0.16500000000000004,0.0,0.005244152146326051,0.029999999999999916,0.039999999999999925,-0.03499999999999992,-0.039999999999999925,0.01914818369392402,0.008306895140232902,0.0562857142857142,0.8120665309046856,0.6241330618093716,0.9076379624603375,480.0,9.0,,False,0.0,False,False,0.06967494037247798,0.09958430469016852,0.9105659463076813,0.23934860977540318,2026-03-31T00:00:00Z
"Will Elon Musk post 220-239 tweets from February 24 to March 3, 2026?",1668368.255463,-0.11453223190106182,0.314,0.3580034423407918,0.030124849970477888,0.10599999999999998,0.2905,-0.1225,-0.294,0.16332785546969075,0.1439735018436681,0.0668303111885343,0.7325710881176387,0.4886606831840404,0.9266310090652714,215.0,17.0,,False,0.0,False,False,0.004805604906969182,0.1518266086809005,0.4219361355467169,0.09558276122361528,2026-03-03T17:00:00Z
"Will Elon Musk post 240-259 tweets from February 24 to March 3, 2026?",1294147.331077,-0.14468154831791197,0.277,0.0216998191681736,0.01201700411352041,0.04949999999999999,0.2765,-0.011,-0.0365,0.12814105636106624,0.05066775766434898,0.0373309392105186,0.8035964284002266,0.6071928568004535,0.9141319105916972,329.0,20.0,,False,0.0,False,False,0.008208341177979491,0.10990483883881294,0.5569841350958288,0.12304832484459102,2026-03-03T17:00:00Z
Will the AfD win 20-25% of the vote in the German election?,5686465.456763,-0.14178878024167735,0.355,0.5,0.00584429008290229,0.020000000000000018,0.020000000000000018,0.015000000000000013,0.010000000000000009,0.011085557405790838,0.009814947167076518,0.003148006597739,0.6784691636948038,0.27789035791820815,0.917021273914016,517.0,10.0,,False,0.0,False,False,0.02140018512198745,0.08251831340476688,0.8344597875400391,0.18706801201973677,2025-02-23T12:00:00Z
Will the AfD win 15-20% of the vote in the German election?,4533058.575216,-0.12786469073717333,0.225,1.0,0.004639566486671599,0.01999999999999999,0.010000000000000009,-0.015000000000000013,-0.01999999999999999,0.001966400460598534,0.0015197249833037744,0.0064433984103711,0.6334379399822174,0.2668758799644349,0.9440039653450818,590.0,14.0,,False,0.0,False,False,0.09400211866219473,0.13728114126190963,0.6134537156076643,0.20005638918127439,2025-02-23T12:00:00Z
Will George Simion win by 0–6%?,3328727.009775,-0.10472109602539381,0.185,2.0,0.007683178759688423,0.04500000000000001,0.010000000000000009,-0.03,-0.03,0.016145203924771718,0.015424112460160387,0.0282746064046267,0.5743092015592748,0.14863197390338023,0.910123065812235,499.0,17.0,,False,0.0,False,False,0.010996798977189835,0.20579946886646372,0.46012252758424566,0.11056207819306471,2025-05-18T12:00:00Z
Will Nicușor Dan win by 0–6%?,6483478.386467,-0.1471615266575691,0.335,0.5000000000000004,0.010800885231061324,0.06,0.06,-0.02999999999999997,-0.04999999999999999,0.02956263599106493,0.027538241573042858,0.0273904382470119,0.5102061161920087,0.020412232384017525,0.9181144335096028,499.0,18.0,,False,0.0,False,False,0.008453019756939344,0.15077211915559918,0.5258389932758725,0.11904616943065897,2025-05-18T12:00:00Z
Will Nicușor Dan win by 6–12%?,6494331.727631,-0.10375430089883309,0.1565,0.37554585152838404,0.015550433437093798,0.08299999999999999,0.11450000000000002,0.137,0.1335,0.022948979143736548,0.019670346344352815,0.0236167123729633,0.7760501756334311,0.5521003512668647,0.9437609647871381,518.0,16.0,,False,0.0,False,False,0.009230487750611712,0.1417643759315361,0.6652515239300988,0.14706138939555535,2025-05-18T12:00:00Z
"Will Elon Musk post 260-279 tweets from December 12 to December 19, 2025?",1106175.783447,0.006460589464233002,0.7525,0.029739776951672885,0.08415263595707634,0.503,0.6725000000000001,0.3500000000000001,0.7405,0.21205960064480892,0.1531636819876113,0.1039768413059984,0.7137501094129304,0.6761650594410347,0.8835142867429902,235.0,17.0,,False,0.0,False,False,0.021828680792072674,0.5196435668944047,0.030312983438196685,0.04841628562641408,2025-12-19T17:00:00Z
Will Phan Văn Giang be the next President of Vietnam?,2697079.067629992,-0.15172359654005052,0.32,0.0,0.02958785859416528,0.11499999999999999,0.26,-0.015,0.0,0.00987736888231012,0.0004897699044577752,0.0740458015267175,0.7735376250402878,0.5412179356662155,0.8981861018211514,241.0,10.0,,False,0.0,False,False,0.06530461119025385,0.046000626138732605,0.791020512300359,0.20948259215969883,2026-01-25T00:00:00Z
Will Tô Lâm be the next President of Vietnam?,4348032.177655002,-0.1456514834738623,0.32499999999999996,0.06382978723404262,0.025121704664877988,0.10999999999999999,0.235,0.015000000000000013,-0.015000000000000013,0.025354798681249135,0.009289070394635805,0.0569731527678783,0.7853517082058479,0.5707624823827862,0.9044727435745292,122.0,4.0,,False,0.0,False,False,0.06081910237378255,0.11483286402059145,0.6588333616508777,0.18312264231154204,2026-01-25T00:00:00Z
"Will Melania say ""Career"" during AI talk on Friday?",31097575.061839,-0.03336568063603218,0.5,0.13793103448275873,0.05003998401278722,0.13,0.14500000000000002,-0.14500000000000002,-0.14500000000000002,0.048705284426058565,0.018088348133166836,0.0516694646521171,,0.4596736610175188,,360.75,13.0,,False,0.0,False,False,0.056916533738477326,0.10171292445310726,0.6518546502572392,0.17814397657796122,2026-01-16T00:00:00Z
"Will Elon Musk post 240-259 tweets from February 3 to February 10, 2026?",1165700.960915,-0.11473452948105811,0.2535,0.0,0.055109150950804146,0.27999999999999997,0.253,-0.012,-0.3615,0.0,0.0,0.054368708214862,0.7271912735002211,0.45438254700044206,0.924651869452426,214.0,16.0,,False,0.0,False,False,0.01378700602216094,0.20618192109118808,0.362634044167796,0.0931761594047393,2026-02-10T17:00:00Z
"Will Elon Musk post 260-279 tweets from February 3 to February 10, 2026?",2267416.304478,-0.1475763290120845,0.2775,0.0,0.031090409669336978,0.1755,0.277,-0.006500000000000001,-0.037,0.1865088400432774,0.0,0.0537361189535102,0.8618648138669034,0.7237296277338068,0.9483847810012822,193.0,18.0,,False,0.0,False,False,0.021976325178174484,0.10597635334123272,0.45602848156462167,0.11298675786361684,2026-02-10T17:00:00Z
"Will Elon Musk post 280-299 tweets from February 3 to February 10, 2026?",1919906.309087,-0.11354577102381991,0.1925,0.0,0.0471167204898266,0.208,0.192,-0.1595,-0.316,0.22619461953984926,0.12694328080762568,0.0732420181804671,0.7454073083249202,0.5027104664816986,0.9294522891472348,214.0,20.0,,False,0.0,False,False,0.004012555614392774,0.24052761341110482,0.27799002549759383,0.07063380248086859,2026-02-10T17:00:00Z
Will Jorge “Tuto” Quiroga win the 2025 Bolivia presidential election?,6479504.061819,-0.1323602979177348,0.43999999999999995,0.0,0.0029366327110302705,0.010000000000000009,0.03500000000000003,0.0,-0.010000000000000009,0.008088478028872354,0.0037613857428381247,0.0174120005010647,0.6051871809400571,0.0156187094922149,0.9350269669155957,469.0,15.0,,False,0.0,False,False,0.11772516554061581,0.16864912678083566,0.6285042386563533,0.2224271782257743,2025-10-19T00:00:00Z
Will Rodrigo Paz win the 2025 Bolivia presidential election?,6918532.545232,-0.13608486115878443,0.4435,0.1029411764705884,0.0037180813015534704,0.02200000000000002,0.033999999999999975,0.008500000000000008,0.011999999999999955,0.006250452222236231,0.00463326321018629,0.0103396992516701,0.6264683713554074,0.3549159183508897,0.9532508594211573,469.0,17.0,,False,0.0,False,False,0.011980829397437047,0.08770423263225625,0.6831459652407689,0.15000002672784438,2025-10-19T00:00:00Z
"Will Elon Musk post 560-579 tweets from January 13 to January 20, 2026?",1515611.939455,-0.14284213595604667,0.1985,0.2692307692307693,0.01595092307893005,0.084,0.182,-0.11900000000000001,-0.0495,0.2698897635631394,0.19924428039079714,0.0556805538385461,0.8023551211891043,0.6047102423782088,0.9231827471143013,309.5,18.0,,False,0.0,False,False,0.002386407288440083,0.12101119266020878,0.48489484010830686,0.10481933312100189,2026-01-20T17:00:00Z
"Will Elon Musk post 580-599 tweets from January 13 to January 20, 2026?",1209441.964402,-0.1451545870582851,0.1955,0.056555269922879174,0.011867320419995858,0.04899999999999999,0.1945,-0.042499999999999996,-0.013500000000000002,0.22759016295375975,0.11432437775389666,0.0296420758963954,0.8045434525177799,0.6090869050355594,0.9204620172447135,246.5,15.0,,False,0.0,False,False,0.012176058546128982,0.09447652616176472,0.6500858153985083,0.14387303329738663,2026-01-20T17:00:00Z
"Will Elon Musk post 540-559 tweets from January 13 to January 20, 2026?",1467906.273118,-0.02443516955564895,0.15,4.0,0.05880595513354274,0.33999999999999997,0.08499999999999999,-0.2,0.06,0.18769065425166065,0.11434345408632123,0.1120580889358086,0.5613006950248788,0.15699941527089722,0.9012803710965911,214.0,19.0,,False,0.0,False,False,0.004936659858096058,0.35897797709121415,0.07470931439042158,0.03659325662621707,2026-01-20T17:00:00Z
"Will Elon Musk post 380-399 tweets from January 20 to January 27, 2026?",1657060.107005,-0.01191170196804453,0.8475,0.2310756972111554,0.03132285622137767,0.14500000000000002,0.6275000000000001,0.3255,0.42200000000000004,0.3097415234074018,0.25342691191449745,0.064016554127641,0.6479310174131393,0.430633060073472,0.9034409469674318,268.0,20.0,,False,0.0,False,False,0.005263175646255333,0.4430606592507855,0.040712478154392974,0.034242910328109374,2026-01-27T17:00:00Z
"Will Elon Musk post 400-419 tweets from January 20 to January 27, 2026?",1457883.700012,0.033794493848740226,0.2175,9.919999999999993,0.04065066927653406,0.22350000000000003,0.012500000000000011,0.07799999999999999,-0.18150000000000002,0.21811366397565987,0.14363692678024675,0.0583950678665539,0.5861022242742997,0.21594958591980723,0.904290492047362,289.0,19.0,,False,0.0,False,False,0.005165446289711619,0.5015774066500349,0.0005854190829666691,0.029070038866378798,2026-01-27T17:00:00Z
"Will Elon Musk post 420-439 tweets from January 20 to January 27, 2026?",1237620.961118,-0.14716288368877645,0.1955,0.0636604774535809,0.026679022808853217,0.12150000000000002,0.1885,-0.02,-0.1455,0.21814504218202882,0.15826487244644385,0.0539549925885999,0.7430963851780221,0.4861927703560441,0.9148180511531767,573.0,18.0,,False,0.0,False,False,0.011393568313428462,0.16283938422275215,0.47432960880166486,0.11155306720654193,2026-01-27T17:00:00Z
"Will Elon Musk post 560-579 tweets from December 30 to January 6, 2026?",1881446.102726,-0.1477261594244908,0.2075,0.6461538461538462,0.031832123164939344,0.16750000000000004,0.16249999999999998,-0.0155,-0.019500000000000003,0.36323541498785045,0.16270385310272414,0.0699190508558363,0.7555226633317884,0.5110453266635762,0.929516260401003,207.0,15.0,,False,0.0,False,False,0.004070261965652415,0.11287583016632696,0.4391309457982339,0.09652267714220246,2026-01-06T17:00:00Z
"Will Elon Musk post 580-599 tweets from December 30 to January 6, 2026?",1428157.956748,-0.14266058378404411,0.193,0.06315789473684211,0.007671902018368569,0.0385,0.19,-0.019,-0.0155,0.2413994316178731,0.18235842513065584,0.0489078275557603,0.8692789415971275,0.7385578831942552,0.9205795047697034,214.0,15.0,,False,0.0,False,False,0.016551899002294812,0.09235422179986355,0.544658074025338,0.1259632501467819,2026-01-06T17:00:00Z
Will Biden pardon Fauci?,1735202.975087,-0.14844696106435418,0.28,0.3499999999999999,0.017118736938468694,0.07499999999999996,0.10000000000000003,-0.035,-0.10499999999999998,0.007361627585357348,0.0018812156709994412,0.0212103358303173,0.7478443940434265,0.4956887880868531,0.925691838086995,622.0,12.0,,False,0.0,False,False,0.033518993895984873,0.11123723267059879,0.7356611542103331,0.1778333378975852,2025-01-20T12:00:00Z
Will Biden pardon Liz Cheney?,1792506.753123,-0.1310541125058517,0.355,0.36000000000000015,0.012414487951220191,0.04500000000000001,0.12499999999999997,-0.04000000000000001,-0.10500000000000001,0.017526284542330205,0.008714362588113984,0.0151284084670286,0.6977700776809882,0.39818467339948804,0.9397120248670554,607.0,10.0,,False,0.0,False,False,0.03637298349508202,0.08934277289387071,0.7716317219878788,0.1860732206635808,2025-01-20T12:00:00Z
Will Biden pardon Jim Biden?,3115190.047687,-0.13993335979124716,0.36,0.15789473684210545,0.02263583813224724,0.10499999999999998,0.09499999999999997,-0.09999999999999998,-0.12,0.02302550119159267,0.0018936486035743391,0.0148736198558262,0.6997172677207191,0.3994304608539637,0.9383753103726247,546.0,9.0,,False,0.0,False,False,0.09716859430460424,0.05785736447410141,0.8415241679356601,0.2440741475392903,2025-01-20T12:00:00Z
"Will Elon Musk post 400-419 tweets from January 16 to January 23, 2026?",1064179.423294,-0.1340338273025451,0.193,0.0,0.03337542192362888,0.13,0.1925,-0.026,-0.2885,0.0,0.0,0.0416409385612843,0.7596687689578944,0.519337537915789,0.9222493415990474,351.0,18.0,,False,0.0,False,False,0.021348660035450988,0.12014174472222675,0.5596724896458765,0.13395308019187488,2026-01-23T17:00:00Z
"Will Elon Musk post 260-279 tweets from March 27 to April 3, 2026?",1407483.3874919969,0.04093438343524658,0.71,0.4597701149425286,0.1124475720633974,0.62,0.435,0.010000000000000009,0.575,0.26902359568489026,0.11693519744576267,0.0708481262327416,0.6831600646205264,0.32366218667385527,0.8915395459847972,141.0,15.0,,False,0.0,False,False,0.004369318675231054,0.5599342130622841,0.043372563124077924,0.03994821228435308,2026-04-03T16:00:00Z
"Will Elon Musk post 280-299 tweets from March 27 to April 3, 2026?",1347115.5225149982,-0.042471969635749396,0.285,1.0792349726775954,0.04239456530657932,0.1975,0.18300000000000005,0.37050000000000005,0.4525,0.2541057939943827,0.11130807551087835,0.0690934908187304,0.5628594189952664,0.23884016494517427,0.8844419093277227,195.0,12.0,,False,0.0,False,False,0.008331634299801889,0.3387221815082785,0.20195528536768032,0.06357589187380142,2026-04-03T16:00:00Z
"Will Elon Musk post 300-319 tweets from March 27 to April 3, 2026?",1385741.6902399983,-0.1468820814024741,0.153,0.06976744186046512,0.022405144003985675,0.1045,0.1505,-0.0165,0.0,0.3311355042836324,0.20671458827736836,0.0714938030006523,0.8919752944157178,0.783950588831436,0.9164338035773163,149.0,11.0,,False,0.0,False,False,0.030081380134116074,0.18660006611023344,0.47184404304539157,0.12625984701517703,2026-04-03T16:00:00Z
"Will Elon Musk post 240-259 tweets from February 10 to February 17, 2026?",1418881.173577,-0.030156979132951456,0.789,0.6409989594172736,0.07049708606737537,0.37999999999999995,0.48050000000000004,-0.03749999999999998,0.051000000000000045,0.19604219983402532,0.13332094800072877,0.1122828207748768,0.6824057567721974,0.41432445734761125,0.8983596876719679,307.0,17.0,,False,0.0,False,False,0.0044474115799622805,0.31629711745498473,0.1247346498106376,0.044097344519848466,2026-02-17T17:00:00Z
